institution,vertical,segment,country,priority,channel,email,contact_page,note,fit,checked_on,status
Licuido,token_issuer,RWA tokenization,BR,1,none,,,"No firm under this name found. Brazil's XRPL-adjacent tokenizer is Liqi (liqi.com.br, issuer form only). Confirm which one was meant",XRPL-native tokenization. Short decision chain; good design-partner candidate.,2026-09-24,find_contact
Meld Gold,token_issuer,tokenized commodities on XRPL,AU,1,general,info@meld.gold,https://www.meld.gold/contact,,Gold tokenization native to XRPL. Physical-backing credibility depends on holders trusting that issuer permissions are not abusable.,2026-09-24,verify_before_send
Ondo Finance,token_issuer,tokenized treasuries / RWA,US,1,form,,https://ondo.finance/contact,"support@ is user support, press@ is media; use the institutional contact form",Tokenized US Treasuries with XRPL distribution. Institutional holders will demand exactly the permission registry you produce.,2026-09-24,verify_before_send
OpenEden,token_issuer,tokenized US T-bills (TBILL) on XRPL,SG,1,website,,https://openeden.com/,"TBILL on XRPL (Ripple invested). Only a founder address surfaced (in a governance forum post), so it is left out",RWA issuer on XRPL with Ripple as investor; institutional holders need defensible marks and exit depth.,2026-09-24,verify_before_send
Schuman Financial,token_issuer,"MiCA euro stablecoin issuer (EURØP), live on XRPL",FR,1,form,,https://schuman.io/contact/,Issues EURØP (MiCA). support@schuman.io is user support; use the contact form,MiCA issuer with liquidity and disclosure obligations; independent evidence of fillable depth on its XRPL pairs supports those.,2026-09-24,verify_before_send
StablR,token_issuer,"euro/dollar stablecoin issuer (EURR, USDR), live on XRPL",MT,1,general,info@stablr.com,https://www.stablr.com/contact,Issues EURR/USDR. Partner page: https://www.stablr.com/partner,Regulated EU stablecoin issuer backed by Kraken; same MiCA angle as Schuman.,2026-09-24,verify_before_send
VERT Capital,token_issuer,tokenized credit / agribusiness RWA,BR,1,form,,https://www.vert-capital.com/en/contato,Address is published on the contact page but hidden from search; open the page to read it,"Brazilian RWA issuance on XRPL. Small, fast-moving, and the perimeter question is immediate for them.",2026-09-24,verify_before_send
Zeconomy,token_issuer,tokenization infrastructure,US,1,general,info@zeconomy.com,https://www.zeconomy.com/contact-3,,Behind Guggenheim's digital commercial paper on XRPL. The technical buyer sits here; the prestige logo sits at Guggenheim.,2026-09-24,verify_before_send
Zoniqx,token_issuer,RWA tokenization platform on XRPL,US,1,general,hello@zoniqx.com,https://www.zoniqx.com/contact,,"Builds tokenization rails on XRPL for third-party issuers. One integration reaches many issuers - treat as a channel, price it accordingly.",2026-09-24,verify_before_send
Arrington Capital,trading_desk,digital asset fund,US,1,general,contact@arringtoncapital.com,https://www.arringtoncapital.com/blog/official-arrington-capital-communication-channels/,"The firm lists its official channels on this page; check it, as impersonation of crypto funds is common","Crypto-native fund with a long XRPL history. Founder-led decisions, no procurement gate.",2026-09-24,verify_before_send
GSR,trading_desk,crypto market maker,GB,1,form,,https://www.gsr.io/contact-us,No published address; contact form. Warm path via Evernorth investors,Long-standing XRPL market maker. Quotes size exactly where advertised and fillable depth diverge most. A desk head can buy seats without procurement.,2026-09-24,verify_before_send
Hidden Road,trading_desk,prime brokerage (Ripple-owned),US,1,form,,https://ripple.com/products/prime-brokerage/,"Now Ripple Prime (Ripple-owned). Ripple itself is a channel partner, not a cold target","Acquired by Ripple. That cuts both ways: unusually close to XRPL, and unusually likely to route the decision through Ripple. Ask early who owns the budget.",2026-09-24,verify_before_send
Logan Stone Capital,trading_desk,digital asset fund,US,1,general,info@loganstonecap.com,https://www.loganstonecap.com/,,"Smaller fund, short decision chain, plausible first paying customer and a case study you can take upmarket.",2026-09-24,verify_before_send
Doppler Finance,treasury_holder,XRP yield and institutional lending,AE,1,website,,https://doppler.finance/,No address surfaced in search; the site lists one. Also an Evernorth partner,Lends against XRP and XRPL assets. A freezable or clawback-enabled collateral asset is an unpriced hole in a loan book - the sharpest version of your pitch.,2026-09-24,verify_before_send
Evernorth,treasury_holder,XRP treasury vehicle,US,1,none,,https://www.evernorth.xyz/,No IR address yet (pre-listing). Warm intro via its investors,Purpose-built XRP accumulation vehicle. Its entire reason to exist is the asset you analyse; NAV defensibility is existential rather than nice to have.,2026-09-24,verify_before_send
Hirac Fund,treasury_holder,XRPL-focused fund,JP,1,website,,https://www.hirac.co.jp/en/about,"Money Forward's CVC; an investor, not a buyer. Better as a route to its XRPL portfolio companies","XRPL-native fund vehicle. Small, fast, and feels fillable-depth error directly in its own marks.",2026-09-24,verify_before_send
Hyperscale Data,treasury_holder,"listed company, digital asset treasury",US,1,investor_relations,IR@hyperscaledata.com,https://hyperscaledata.com/ir-resources,IR inbox; IR phone (888) 753-2235,"Listed holder with disclosed digital asset positions. CFO and audit committee are the buyers here, not a trading desk.",2026-09-08,verify_before_send
VivoPower International,treasury_holder,"listed company, XRP treasury",GB,1,investor_relations,shareholders@vivopower.com,https://www.vivopower.com/investors,IR inbox,"Nasdaq-listed with a declared XRP treasury strategy. Same audit-defensibility pain, plus public-market disclosure obligations that make a defensible mark non-optional.",2026-09-08,verify_before_send
Wellgistics Health,treasury_holder,"listed company, XRP treasury",US,1,investor_relations,IR@wellgisticshealth.com,https://wellgisticshealth.com/investors/,"IR inbox. Their IR firm is Skyline Corporate Communications; if you use it, say plainly you are a vendor, not an investor","Public company holding XRP on balance sheet. Auditors will ask how the position is marked and whether it can be exited at the marked price. That is literally your product, and there is no incumbent.",2026-09-08,verify_before_send
Gemini,compliance_function,NYDFS-regulated exchange and custodian,US,2,form,,https://www.gemini.com/institutions,,"Listed-asset risk assessment is a documented regulatory obligation, not a preference. Target listings and financial crime, not trading.",2026-09-24,verify_before_send
Kraken,compliance_function,global exchange,US,2,form,,https://www.kraken.com/institutions,Institutional team replies to the form; press@kraken.com is media only,Lists XRPL assets across many jurisdictions. Partial-payment forensics bears directly on deposit-crediting integrity.,2026-09-24,verify_before_send
OKX,compliance_function,global exchange,SC,2,form,,https://www.okx.com/en-eu/institutional,,Broad XRPL listings mean real exposure to issuer freeze and clawback on listed assets.,2026-09-24,verify_before_send
Upbit,compliance_function,Korean exchange,KR,2,partnerships,partnership@upbit.com,https://www.dunamu.com/en/about/company?category=directions,Korean-language note helps,Among the largest XRP venues globally. Korean-language materials and a local introduction are effectively required.,2026-09-24,verify_before_send
Chipper Cash,payments_corridor,African cross-border payments,US,2,form,,https://enterprise.chippercash.com/,Business contact form; published support address is for consumers,Pan-African payments with Ripple corridor history. Confirm current XRPL usage before writing.,2026-09-24,verify_before_send
MFS Africa (Onafriq),payments_corridor,African payments network,GH,2,form,,https://onafriq.com/contact,The only published address belongs to its PR agency; do not pitch the agency,Now trading as Onafriq - use the current name or the email reads as stale list data.,2026-09-24,verify_before_send
MoonPay,payments_corridor,crypto payments and on-ramp,US,2,form,,https://www.moonpay.com/business/contact,,Settlement integrity and delivered-value accuracy matter directly to their treasury reconciliation.,2026-09-24,verify_before_send
Nium,payments_corridor,global payments infrastructure,SG,2,partnerships,partnerships@nium.com,https://www.nium.com/partners,Sales form: https://www.nium.com/talk-to-us,Large B2B payments network. Confirm live XRPL settlement rather than assuming it.,2026-09-24,verify_before_send
OpenPayd,payments_corridor,embedded finance and payments,GB,2,form,,https://www.openpayd.com/contact-us/,Address hidden from search; read it on the contact page,Banking-as-a-service with stablecoin settlement. Reachable mid-size org.,2026-09-24,verify_before_send
SBI Ripple Asia,payments_corridor,Ripple / SBI joint venture,JP,2,general,info@sbi-ripple.co.jp,https://ripple.com/company/sbi-ripple-asia/,,"A Ripple JV, so treat as ecosystem-adjacent: partnership framing, not a vendor pitch.",2026-09-24,verify_before_send
21Shares,regulated_institution,crypto ETP issuer,CH,2,compliance,compliance@21.co,https://www.21shares.com/en-us/contact-us,Published for compliance matters at 21Shares AG,"Same fiduciary framing as Bitwise, European perimeter. Product and risk teams are the entry point.",2026-09-24,verify_before_send
Amplify ETFs,regulated_institution,thematic ETF issuer,US,2,general,info@amplifyetfs.com,https://amplifyetfs.com/connect/,,"Smaller issuer with crypto-linked products. Reachable, but confirm actual XRP exposure first.",2026-09-24,verify_before_send
Axiology,regulated_institution,Bank of Lithuania-licensed DLT market built on XRPL tech,LT,2,website,,https://www.axiology.xyz/imprint,"Bank of Lithuania-licensed DLT market on XRPL tech. Address shown on the imprint page, hidden from search",Regulated tokenized-securities venue on XRPL technology; needs market-quality evidence for supervisors.,2026-09-24,verify_before_send
BBVA Switzerland,regulated_institution,"private bank, crypto custody",CH,2,form,,https://www.bbva.ch/en/general/activos-digitales.html,Advisor form on the digital assets page,"Materially more reachable than the group: smaller entity, real crypto custody, Swiss regulatory clarity. The best of the BBVA entries by some distance.",2026-09-24,verify_before_send
Bitstamp,regulated_institution,"exchange (Bitstamp by Robinhood), XRPL USD/BTC issuer",LU,2,general,info@bitstamp.net,https://www.bitstamp.net/institutional-trading/,Now Bitstamp by Robinhood. Long-standing XRPL USD/BTC issuer; its books appear in NOSHASHI's own depth findings,Its XRPL IOU books appear in NOSHASHI's own measurements; an issuer with an institutional desk.,2026-09-24,verify_before_send
Bitwise Asset Management,regulated_institution,ETP / ETF issuer,US,2,general,team@bitwiseinvestments.com,https://bitwiseinvestments.com/,europe@bitwiseinvestments.com for the European ETP business,XRP products create a fiduciary duty to understand underlying liquidity. Authorised participants will ask questions they need answers to.,2026-09-24,verify_before_send
Bullish,regulated_institution,institutional exchange,KY,2,form,,https://www.bullish.com/get-in-touch,Routes to a relationship manager,Institutional venue with a published liquidity story of its own - which makes them either an unusually receptive buyer or an unusually sceptical one.,2026-09-24,verify_before_send
CoinShares,regulated_institution,digital asset investment firm,JE,2,form,,https://investor.coinshares.com/contact,"Contact page routes IR, media and partnerships","Publishes research. A route in is contributing rigorous liquidity data to their output rather than a cold sale - credibility first, revenue later.",2026-09-24,verify_before_send
EDX Markets,regulated_institution,institutional crypto exchange,US,2,general,info@edxmarkets.com,https://edxmarkets.com/contact/,"support@ is member onboarding, not sales",Built by traditional finance firms with a non-custodial model. Listed-asset risk assessment is a documented obligation for them.,2026-09-24,verify_before_send
Garanti BBVA,regulated_institution,Turkish bank with digital asset arm,TR,2,form,,https://www.garantibbva.com.tr/en/customer-care/contact-us-form,Digital assets arm (Garanti BBVA Kripto) only has a retail call centre; weak route,Garanti BBVA Digital Assets offers custody. Mid-size and more approachable than the parent.,2026-09-24,verify_before_send
Grayscale Investments,regulated_institution,crypto asset manager,US,2,form,,https://www.grayscale.com/contact,Phone 866-775-0313,"XRP trust product. Large, process-driven, but the NAV-defensibility argument is one their counsel already worries about.",2026-09-24,verify_before_send
ProShares,regulated_institution,leveraged and inverse ETF issuer,US,2,institutional,institutionalgroup@proshares.com,https://www.proshares.com/institutional_services/,Institutional services group; phone (866) 776-5125 option 3,Runs XRP futures-linked products. Liquidity error in the underlying propagates into their hedging.,2026-09-24,verify_before_send
SBI Digital Markets,regulated_institution,digital securities (SBI),SG,2,form,,https://sbidm.com/contact-us/,,SBI's Singapore digital-asset arm - a far more reachable door into the SBI group than SBI Holdings itself.,2026-09-24,verify_before_send
SBI Holdings,regulated_institution,"financial group, largest institutional XRP position",JP,2,website,,https://www.sbigroup.co.jp/english/investors/,"No IR address surfaced; group-level, better reached via SBI Ripple Asia or SBI Digital Markets",Strategically the single most valuable relationship on this list and among the slowest. Go in through SBI Remit or SBI Digital Markets; do not cold-email the parent.,2026-09-24,verify_before_send
Securitize Japan,regulated_institution,digital securities platform,JP,2,form,,https://www.securitize.co.jp/about-us/contact-us,Japanese-language form,Tokenized securities issuance in Japan. Issuer-permission transparency is a selling point for their own clients.,2026-09-24,verify_before_send
Zilo,regulated_institution,fund servicing technology,GB,2,general,contact@zilo.co.uk,https://www.zilo.co.uk/contact-us,,Transfer-agency and fund tech moving toward tokenized funds. Potentially a channel to many fund clients rather than a single seat.,2026-09-24,verify_before_send
Aurum Equity Partners,token_issuer,tokenized private equity / infrastructure,AE,2,none,,,Ambiguous: search finds an Indian investment bank (aurumequity.com) and another firm at aurum.pe. Confirm which one runs the Dubai tokenization before writing,Tokenized fund issuance on XRPL. Institutional LPs will ask the perimeter question.,2026-09-24,find_contact
Great Bridge Capital,token_issuer,digital asset investment,US,2,none,,,"Ambiguous: the only match (greatbridgecap.com) is a Jacksonville marine/defense adviser, not a digital asset firm. Confirm identity first",Confirm the XRPL issuance angle before writing; classification here is a guess.,2026-09-24,find_contact
Mercado Bitcoin,token_issuer,Brazilian exchange tokenizing $200M of RWAs on XRPL,BR,2,website,,https://www.mercadobitcoin.com.br/,Tokenizing $200M of RWAs on XRPL. No institutional address surfaced,Large regulated issuer onboarding to XRPL; issuer-side compliance evidence.,2026-09-24,verify_before_send
Sologenic,token_issuer,XRPL tokenization platform (SOLO),AE,2,form,,https://www.sologenic.com/contact-partnerships,Dedicated partnerships form; sales form at /contact-sales,"SOLO showed the largest unfunded-depth gap in the Sep 8 sample (94.7% of listed depth unfunded). Handle with care: lead with the method, not the number.",2026-09-24,verify_before_send
DRW Securities / Cumberland,trading_desk,OTC desk,US,2,form,,https://www.cumberland.io/contact-us,,Major XRP OTC counterparty with strong in-house tooling. Lead with issuer freeze and clawback exposure - desks rarely build that half themselves.,2026-09-24,verify_before_send
Flow Traders,trading_desk,ETP market maker,NL,2,form,,https://www.flowtraders.com/digital-assets/contact/,Digital assets desk has its own contact page,"Makes markets in XRP ETPs and needs the underlying fillable liquidity to price the wrapper. Regulated, so slower than a pure crypto desk.",2026-09-24,verify_before_send
Jain Global,trading_desk,multi-strategy hedge fund,US,2,website,,https://www.jainglobal.com/,No published inbox; contact page only,"New, well-capitalised, building digital asset capability from scratch. Better odds than an established fund precisely because nothing is built yet.",2026-09-24,verify_before_send
Marex Group,trading_desk,listed commodities and financial broker,GB,2,investor_relations,investors@marex.com,https://www.marex.com/investors/contact-ir,IR inbox; general enquiries at https://www.marex.com/contact-us,Expanding into digital assets from a traditional-broker base. Best-execution documentation is a familiar obligation for them - frame it that way.,2026-09-24,verify_before_send
Pantera Capital,trading_desk,digital asset fund,US,2,website,,https://panteracapital.com/contact/,"Its published inboxes are for fund investors, press and startups raising money. None fits a vendor; warm intro via Evernorth",Large crypto fund. Portfolio-company introductions may be worth more to you than a seat sale here.,2026-09-24,verify_before_send
Gumi Inc.,treasury_holder,"listed company, XRP treasury",JP,2,form,,https://gu3.co.jp/en/contact.html,Japanese-listed XRP treasury holder; SBI-affiliated,Japanese listed company with an XRP position. Japanese disclosure standards are demanding; expect Japanese-language materials to be the gate.,2026-09-24,verify_before_send
Linklogis,treasury_holder,"supply chain finance, digital asset strategy",HK,2,investor_relations,ir@linklogis.com,https://www.linklogis.com/en/contact/,HK-listed; IR inbox,HK-listed fintech with a declared digital asset treasury move. Confirm the XRPL exposure is real before writing - this one is easy to get wrong.,2026-09-24,verify_before_send
Binance,compliance_function,global exchange,AE,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)","Enormous internal capability and a complex regulatory position. Low odds, high effort.",,skip
Coinbase Global,compliance_function,listed exchange,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)","Large, well-resourced, builds internally. Vendor onboarding is a quarter minimum.",,skip
American Express,payments_corridor,card network and payments,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)","Historic Ripple pilot, long since quiet. Not a realistic beta-stage target.",,skip
Azimo,payments_corridor,remittance,GB,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Acquired by Papaya Global in 2022; the Ripple-era relationship is historical. Verify the entity still operates independently before spending time here.,,skip
MoneyGram,payments_corridor,remittance,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",The Ripple partnership ended in 2021. Approaching them on an XRPL premise signals you are working from an old list - the single most damaging own-goal available on this sheet.,,skip
Revolut,payments_corridor,digital bank,GB,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Large XRP retail volumes but a big internal risk function and a long vendor process.,,skip
abrdn,regulated_institution,asset manager,GB,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Tokenization interest but institutional procurement. After references.,,skip
Absa Bank,regulated_institution,South African bank,ZA,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Limited public XRPL exposure. Confirm the premise before spending time.,,skip
Aviva Investors,regulated_institution,"asset manager, tokenized fund holder",GB,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Has held tokenized funds issued on XRPL via Archax. Better reached through Archax as a reference than cold - and never imply they are a NOSHASHI customer.,,skip
Axis Bank,regulated_institution,Indian bank,IN,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Former Ripple corridor partner. Indian regulation has moved; verify before writing.,,skip
Bank of America,regulated_institution,global bank,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",No realistic door at your stage.,,skip
BBVA,regulated_institution,bank with digital asset services,ES,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Offers crypto trading and custody in several markets. Institutional process.,,skip
BlackRock,regulated_institution,global asset manager,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)","Not reachable at your stage by any honest route. Leave it on the list as a marker, not a target.",,skip
BNP Paribas,regulated_institution,global bank,FR,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",As Deutsche Bank.,,skip
BNY Mellon,regulated_institution,custodian bank,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Digital asset custody is real here and the fit is genuine. Strictly a post-SOC-2 conversation.,,skip
Canadian Imperial Bank of Commerce,regulated_institution,Canadian bank,CA,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Historic Ripple pilot. Weak current fit.,,skip
Citigroup,regulated_institution,global bank,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Active in tokenized custody. Not a beta-stage conversation.,,skip
DBS Bank,regulated_institution,bank with digital exchange,SG,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",DBS Digital Exchange is a genuine fit on paper. Needs SOC 2 and references first.,,skip
Deutsche Bank,regulated_institution,global bank,DE,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Digital asset custody ambitions. Post-references only.,,skip
DZ Bank,regulated_institution,cooperative central bank,DE,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Digital asset custody platform. Institutional process.,,skip
Franklin Templeton,regulated_institution,"asset manager, tokenized funds",US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)","Genuinely active in tokenization and XRPL-adjacent work, which makes this painful: real fit, unreachable process. Revisit with SOC 2 and two references.",,skip
Goldman Sachs,regulated_institution,investment bank,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",As JPMorgan.,,skip
HSBC,regulated_institution,global bank,GB,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)","Tokenized custody work exists; the door does not, at your stage.",,skip
IndusInd Bank,regulated_institution,Indian bank,IN,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Early Ripple adopter in India. Historical; verify current position.,,skip
Intesa Sanpaolo,regulated_institution,bank with digital asset desk,IT,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Has run a proprietary crypto trading desk. Still bank procurement.,,skip
Invesco,regulated_institution,global asset manager,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Large traditional manager. Full vendor due diligence; not a beta-stage conversation.,,skip
Itau Unibanco,regulated_institution,Brazilian bank with digital asset arm,BR,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Real digital asset activity in a market where you have several better-fitting priority-1 names. Do those first.,,skip
JPMorgan Chase,regulated_institution,global bank,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Builds its own blockchain infrastructure. Effectively unreachable and largely uninterested in external XRPL analytics.,,skip
Kotak Mahindra Bank,regulated_institution,Indian bank,IN,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",As Axis Bank.,,skip
Mizuho Bank,regulated_institution,megabank,JP,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Japanese megabank. Vendor onboarding measured in quarters; Japanese-language process.,,skip
MUFG,regulated_institution,megabank,JP,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)","As Mizuho. Real tokenization work underway, no realistic beta-stage door.",,skip
PNC Bank,regulated_institution,US regional bank,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Former Ripple partner. Limited current XRPL exposure; weak fit.,,skip
Santander,regulated_institution,"bank, former Ripple partner",ES,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",One Pay FX used Ripple technology historically. The relationship is old news; do not lead with it.,,skip
SMBC Nikko Securities,regulated_institution,securities arm of SMBC,JP,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)","Slightly more reachable than the parent bank, still institutional procurement.",,skip
Societe Generale,regulated_institution,"bank, SG-Forge stablecoin issuer",FR,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)","SG-Forge issues its own stablecoins, so the issuer-perimeter pitch genuinely lands - but on Ethereum, not XRPL. Verify before claiming relevance.",,skip
Standard Chartered,regulated_institution,"bank, Zodia Custody parent",GB,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Reach the digital asset business through Zodia rather than the bank.,,skip
UBS,regulated_institution,global wealth manager,CH,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Tokenization work underway; institutional procurement.,,skip
Wells Fargo,regulated_institution,global bank,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Minimal public XRPL exposure. Weakest of the US megabanks for this pitch.,,skip
Westpac,regulated_institution,Australian bank,AU,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Historic Ripple involvement. Weak current fit.,,skip
Dubai Land Department,token_issuer,"government land registry, tokenized property",AE,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)","Real XRPL property tokenization, but a government procurement cycle. Reach it through Ctrl Alt, who already hold the relationship.",,skip
Guggenheim Treasury Services,token_issuer,tokenized commercial paper,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)","Strong fit, institutional procurement. Reach it through Zeconomy rather than cold.",,skip
Citadel Advisors,trading_desk,hedge fund / market maker,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Same as Jane Street. Vendor onboarding alone would outlast your runway.,,skip
Jane Street Group,trading_desk,proprietary trading firm,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Builds essentially everything internally and buys almost no external analytics. Realistically not a customer; do not spend your best week here.,,skip
